fat,calories,protein,rating,sodium,len_directions,len_ingredients,cluster
2.0,54.0,4.0,0.0,872.0,5,13,11
12.0,146.0,2.0,3.125,130.0,2,8,0
18.0,261.0,6.0,1.25,389.0,1,11,11
0.0,6.0,0.0,3.75,26.0,3,4,14
44.0,845.0,90.0,4.375,1288.0,5,16,5
25.0,908.0,65.0,4.375,3173.0,4,12,5
26.0,407.0,13.0,5.0,481.0,6,13,12
227.0,4396.0,37.0,5.0,3618.0,9,14,9
4.0,313.0,7.0,4.375,266.0,1,8,0
55.0,1461.0,119.0,0.0,14276.0,3,22,4
135.0,1750.0,79.0,3.75,1645.0,4,15,5
18.0,492.0,60.0,4.375,1128.0,12,20,5
3.0,41.0,3.0,0.0,81.0,2,9,14
97.0,1245.0,60.0,4.375,495.0,2,11,5
25.0,511.0,30.0,4.375,2161.0,4,11,5
16.0,226.0,3.0,3.125,35.0,1,5,0
0.0,57.0,1.0,5.0,584.0,1,5,11
